DESCRIPTION,CATEGORY
"512103 КМД Гель для душа ""Нежный Бархат"" Экстракт орхидеи и магнолии, 250 мл. дой-пак",Бытовая химия и хозтовары
"JIM BEAM Apple 0,7 AS",Оборудование и инструмент
"52-2913428 #  Подушка задней дополнительной рессоры  в сборе  для а/м ГАЗ, ГАЗель",Автозапчасти и сервис авто
Solomeya Унив антибак срво для рук Алое спрей20мл,Лекарства
"КУ-640 Коробка с обечайкой с окном ""под 9 конфет"", Жизнь прекрасна Tiffany (230379)",Продукты питания и напитки
Подшипник ступицы передней Газель Next в сб. (582873) (конический 2-х ряд. с фланцем),Автозапчасти и сервис авто
Ставень герметический СУ-IV-1 по серии 01.036-1 в.11 световой проем 800х800 RAL 6020,Прочие товары
Проспан пастилки от кашля №20 (Энгельхард Арцнаймиттель/Германия),Лекарства
Переводческие услуги RU-ENG,"Переводческие, образовательные и консалтинговые услуги"
Соус Табаско,Продукты питания и напитки
Ремень поликлиновой (ручейковый) КАМАЗ-Евро-3 генератора дв.Cummins 10PK1703 АВТОМАГНАТ,Оборудование и инструмент
"Полироль для пластика ""Plastic care 500 ml FOCUS""",Прочие товары
"Услуги по предоставлению оборудования -  Instrumentation Package, Daily Rate",Прочие услуги
"СНЕЖОК NATIGE 0,9л 1,5% PURE PACK",Продукты питания и напитки
"Ко-Амлесса 4мг/5мг/1,25мг №30 таб",Лекарства
"Монтаж/демонтаж постеров,  6*11,  Актобе,  Ноябрь 2022",Прочие услуги
"Размещение наружной рекламы на билбордах,  Петропавловск,  Июль 2023",Рекламные и маркетинговые услуги
"Диск сцепления ведомый для а/м Газель Бизнес, NEXT (ДВС CUMMINS ISF2.8)",Автозапчасти и сервис авто
Картридж осушителя воздуха (ан. 432 410 222 7) BELAK,Офисная техника и расходники
ЦИНК 10+С 4.5г N20 таб шип,Лекарства
6 сынып Қазақстан тарихы ,Прочие товары
Ручная щетка ,Бытовая химия и хозтовары
ИГРУШКА INDA TOYS АВТОБУС SR878-07,Детские товары / гигиена
"Шкворень поворотного кулака Газон Некст, Вектор",Прочие товары
МАРМЕЛАД ЯШКИНО КРУТФРУТ ВЕСЕЛЫЕ БУТЫЛОЧКИ ВЕС,Продукты питания и напитки
"Панкреатический 1,5гр №20 фито-чай Белла",Продукты питания и напитки
HE1844 Футболка муж.,Одежда и текстиль
HD2306 Худи муж.,Одежда и текстиль
"Монтаж/демонтаж постеров,  Шымкент,  Декабрь 2023",Прочие услуги
"Печать постеров, Сениор,  Астана,  Ноябрь 2024",Рекламные и маркетинговые услуги
1210015498 Серьги (Ag 925),Ювелирные изделия и аксессуары
Разработка дизайна обложек видео Instagram Reels. Период: июнь 2024 г.,Прочие товары
КЕТЧУП МОЛКОМ-ПАВЛОДАР 500гр ТОМАТНЫЙ ДОЙ ПАК,Продукты питания и напитки
СИГАРЕТЫ HEETS NOOR,Прочие товары
НАБОР КОНФЕТ FERRERO 75ГР ROCHER Т6,Продукты питания и напитки
Хлеб пшеничный,Продукты питания и напитки
Картофель фри Farm Frites сладкий (Батат),Прочие товары
ВАТНЫЕ ДИСКИ Я САМАЯ 80ШТ,Прочие товары
Пластиковые соединители (корпус вилки) D-SUB разъем,Прочие товары
САЛАТНИЦА С КРЫШКОЙ ROSE 76ММ,Прочие товары
Костюм ВИНСТОПЕР,Одежда и текстиль
IB8517 Футболка жен.,Одежда и текстиль
"КАРБЮРАТОР УАЗ 31512, 3152 и их модификации",Автозапчасти и сервис авто
"Муфта сцепления ГАЗ-53,3307 в сборе с подшипником 3307-1601180 (АМ) (25)",Автозапчасти и сервис авто
Услуги аренды за январь 2023 года,Прочие услуги
"Ведро, 15 л, оцинкованное",Прочие товары
ТАРЕЛКА ОВАЛЬНАЯ БОЛЬШАЯ ШТ,Прочие товары
Колбаса МВ Сервелат фирменный на дровах в/у,Продукты питания и напитки
"Гайка стремянки 8 тн. М24*1,5 4310-2912416",Строительные материалы и отделка
Проживание Шибанова с 03.10- 10.10.2022г.,Прочие услуги
Олово (IV) хлорид,Прочие товары
"Согласование эскизов,  3,14*2,3,  Алматы,  Ноябрь 2022",Прочие товары
Механизм рулевого управления ГАЗ-3307,Прочие товары
Хлопушка 40см,Прочие товары
1400011311 Браслет (Ag925),Ювелирные изделия и аксессуары
IC6076 Худи жен.,Одежда и текстиль
Брелок Орел и Солнце LW-B/047,Детские товары / гигиена
ЧАЙ ПИАЛА GOLD 500ГР ЧЕРНЫЙ КЕНИЙСКИЙ,Продукты питания и напитки
"ФИЛЬТР МАСЛЯНЫЙ ДВ.405,406,409",Автозапчасти и сервис авто
"Размещение рекламы на LED-экране (имидж «Tennisi», крышная ТРЦ Сарыарка) октябрь 2023 г.",Рекламные и маркетинговые услуги
GL7376 Леггинсы жен.,Одежда и текстиль
"OOLU2826010 (Терм.обработка порожнего контейнера 20ф,доставленного по ж/д (собственного)-комплексный)",Транспортно-логистические услуги
МОЙОНЕЗ МОСКОВСКИЙ ПРОВАНСАЛЬ ДОМАШНИЙ 55% 670МЛ,Прочие товары
Проживание Ырысалды 07.04.2023г.,Прочие услуги
2309356Д5 Кольцо (Ag 925),Ювелирные изделия и аксессуары
Двери металлические утепленные (наружные) 80х200мм,Прочие товары
"Песеф 0,2 №10 таб",Лекарства
Чеми спрей  флакон 200мл,Лекарства
H65317 Олимпийка дет. спорт.,Прочие товары
EG4146 Кроссовки дет. спорт.,Обувь и средства индивидуальной защиты (СИЗ)
"Задвижка фланцевая с обрезиненым клином под электропривод PN10, DN600",Прочие товары
